point_id,latency_ms,energy_kwh,accuracy_pearson,model_name,target_dim,batch_size,normalize,track_pca_energy,quantize_embeddings,quant_backend,quant_bits,quant_group,quant_mode,track_quant_energy
P01,31992.549600,0.001172792,0.876922,"sentence-transformers/all-MiniLM-L12-v2",288,64,False,True,True,raw,8,128,symmetric,False
P02,50879.561200,0.001865123,0.882853,"sentence-transformers/all-distilroberta-v1",608,32,False,False,False,raw,8,128,affine,True
P03,16222.840300,0.000594740,0.869619,"sentence-transformers/all-MiniLM-L6-v2",608,64,False,False,False,raw,8,32,affine,True
P04,23841.067300,0.000874037,0.876909,"sentence-transformers/all-MiniLM-L12-v2",448,32,False,False,False,raw,4,64,symmetric,True
P05,12917.025300,0.000473615,0.869619,"sentence-transformers/all-MiniLM-L6-v2",416,8,True,False,False,mlx,4,16,symmetric,True
P06,12614.450800,0.000462520,0.869619,"sentence-transformers/all-MiniLM-L6-v2",640,8,False,True,False,raw,8,32,symmetric,True
P07,12608.980700,0.000462301,0.869475,"sentence-transformers/paraphrase-MiniLM-L6-v2",608,64,True,False,False,mlx,4,16,symmetric,True
P08,45487.229600,0.001667518,0.882773,"sentence-transformers/all-distilroberta-v1",576,32,True,False,True,mlx,8,16,affine,True
P09,12088.645800,0.000443219,0.869467,"sentence-transformers/paraphrase-MiniLM-L6-v2",704,64,True,False,True,mlx,8,16,symmetric,True
P10,11626.078300,0.000426264,0.868778,"sentence-transformers/paraphrase-MiniLM-L6-v2",480,16,False,True,True,raw,4,16,symmetric,False
P11,38144.516000,0.001398387,0.881169,"sentence-transformers/all-distilroberta-v1",544,8,True,True,True,raw,4,128,symmetric,True
P12,11578.000800,0.000424517,0.867801,"sentence-transformers/paraphrase-MiniLM-L6-v2",224,32,False,False,True,mlx,4,32,symmetric,True
